SampleID,Location,Soil,Status,Planting,Breeding
103,Sichuan,Clay,Healthy,Monoculture,Unclear
104,Sichuan,Clay,Healthy,Monoculture,Unclear
105,Sichuan,Clay,Healthy,Monoculture,Unclear
106,Sichuan,Clay,Diseased,Monoculture,Favorita
107,Sichuan,Clay,Diseased,Monoculture,Favorita
108,Sichuan,Clay,Diseased,Monoculture,Favorita
109,Sichuan,Clay,Diseased,Monoculture,Favorita
110,Sichuan,Clay,Diseased,Monoculture,Favorita
111,Sichuan,Loam,Healthy,Monoculture,Favorita
112,Sichuan,Loam,Healthy,Monoculture,Favorita
113,Sichuan,Loam,Healthy,Monoculture,Favorita
114,Sichuan,Loam,Healthy,Monoculture,Favorita
115,Sichuan,Loam,Healthy,Monoculture,Favorita
116,Sichuan,SandySoil,Healthy,Intercropping,Favorita
117,Sichuan,SandySoil,Healthy,Intercropping,Favorita
118,Sichuan,SandySoil,Healthy,Intercropping,Favorita
119,Sichuan,SandySoil,Healthy,Intercropping,Favorita
120,Sichuan,SandySoil,Healthy,Intercropping,Favorita
121,Guizhou,Loam,Healthy,Monoculture,YushuCA
122,Guizhou,Loam,Healthy,Monoculture,YushuCA
123,Guizhou,Loam,Healthy,Monoculture,YushuCA
124,Guizhou,Loam,Healthy,Monoculture,YushuCA
125,Guizhou,Loam,Healthy,Monoculture,YushuCA
126,Guizhou,Loam,Healthy,Monoculture,Unclear
127,Guizhou,Loam,Healthy,Monoculture,Unclear
128,Guizhou,Loam,Healthy,Monoculture,Unclear
129,Guizhou,Loam,Healthy,Monoculture,Unclear
130,Guizhou,Loam,Healthy,Monoculture,Unclear
131,Guizhou,Loam,Healthy,Monoculture,Unclear
132,Guizhou,Loam,Healthy,Monoculture,Unclear
133,Guizhou,Loam,Healthy,Monoculture,Unclear
134,Guizhou,Loam,Healthy,Monoculture,Unclear
135,Guizhou,Loam,Healthy,Monoculture,Unclear
136,Guizhou,Loam,Healthy,Monoculture,Unclear
137,Guizhou,Loam,Healthy,Monoculture,Unclear
138,Guizhou,Loam,Healthy,Monoculture,Unclear
139,Guizhou,Loam,Healthy,Monoculture,Unclear
140,Guizhou,Loam,Healthy,Monoculture,Unclear
141,Yunnan,Clay,Healthy,Monoculture,Lishu6
142,Yunnan,Clay,Healthy,Monoculture,Lishu6
143,Yunnan,Clay,Healthy,Monoculture,Lishu6
144,Yunnan,Clay,Healthy,Monoculture,Lishu6
145,Yunnan,Clay,Healthy,Monoculture,Lishu6
146,Yunnan,Clay,Healthy,Monoculture,Lishu6
147,Yunnan,Clay,Healthy,Monoculture,Lishu6
148,Yunnan,Clay,Healthy,Monoculture,Lishu6
149,Yunnan,Clay,Healthy,Monoculture,Lishu6
150,Yunnan,Clay,Healthy,Monoculture,Lishu6
151,Yunnan,Clay,Healthy,Monoculture,Lishu6
152,Yunnan,Clay,Healthy,Monoculture,Lishu6
153,Yunnan,Clay,Healthy,Monoculture,Lishu6
154,Yunnan,Clay,Healthy,Monoculture,Lishu6
155,Yunnan,Clay,Healthy,Monoculture,Lishu6
156,Yunnan,Loam,Healthy,Monoculture,Hezuo88
157,Yunnan,Loam,Healthy,Monoculture,Hezuo88
158,Yunnan,Loam,Healthy,Monoculture,Hezuo88
159,Yunnan,Loam,Healthy,Monoculture,Hezuo88
160,Yunnan,Loam,Healthy,Monoculture,Hezuo88
161,Yunnan,Clay,Healthy,Monoculture,Lishu6
162,Yunnan,Clay,Healthy,Monoculture,Lishu6
163,Yunnan,Clay,Healthy,Monoculture,Lishu6
164,Yunnan,Clay,Healthy,Monoculture,Lishu6
165,Yunnan,Clay,Healthy,Monoculture,Lishu6
166,Yunnan,Clay,Healthy,Monoculture,Lishu6
167,Yunnan,Clay,Healthy,Monoculture,Lishu6
168,Yunnan,Clay,Healthy,Monoculture,Lishu6
169,Yunnan,Clay,Healthy,Monoculture,Lishu6
170,Yunnan,Clay,Healthy,Monoculture,Lishu6
171,Yunnan,Clay,Healthy,Monoculture,Lishu6
172,Yunnan,Clay,Healthy,Monoculture,Lishu6
173,Yunnan,Clay,Healthy,Monoculture,Lishu6
174,Yunnan,Clay,Healthy,Monoculture,Lishu6
175,Yunnan,Clay,Healthy,Monoculture,Lishu6
176,Yunnan,SandySoil,Healthy,Monoculture,Lishu6
177,Yunnan,SandySoil,Healthy,Monoculture,Lishu6
178,Yunnan,SandySoil,Healthy,Monoculture,Lishu6
179,Yunnan,SandySoil,Healthy,Monoculture,Lishu6
180,Yunnan,SandySoil,Healthy,Monoculture,Lishu6
181,Yunnan,Clay,Healthy,Monoculture,Lishu6
182,Yunnan,Clay,Healthy,Monoculture,Lishu6
183,Yunnan,Clay,Healthy,Monoculture,Lishu6
184,Yunnan,Clay,Healthy,Monoculture,Lishu6
185,Yunnan,Clay,Healthy,Monoculture,Lishu6
186,Yunnan,SandySoil,Healthy,Monoculture,Hezuo88
187,Yunnan,SandySoil,Healthy,Monoculture,Hezuo88
188,Yunnan,SandySoil,Healthy,Monoculture,Hezuo88
189,Yunnan,SandySoil,Healthy,Monoculture,Hezuo88
190,Yunnan,SandySoil,Healthy,Monoculture,Hezuo88
191,Yunnan,SandyLoam,Healthy,Monoculture,Xuanshu2
192,Yunnan,SandyLoam,Healthy,Monoculture,Xuanshu2
193,Yunnan,SandyLoam,Healthy,Monoculture,Xuanshu2
194,Yunnan,SandyLoam,Healthy,Monoculture,Xuanshu2
195,Yunnan,SandyLoam,Healthy,Monoculture,Xuanshu2
196,Sichuan,SandySoil,Healthy,Monoculture,Xuanshu2
197,Sichuan,SandySoil,Healthy,Monoculture,Xuanshu2
198,Sichuan,SandySoil,Healthy,Monoculture,Xuanshu2
199,Sichuan,SandySoil,Healthy,Monoculture,Xuanshu2
200,Sichuan,SandySoil,Healthy,Monoculture,Xuanshu2
201,Sichuan,SandyLoam,Diseased,Monoculture,Xishen6
202,Sichuan,SandyLoam,Diseased,Monoculture,Xishen6
203,Sichuan,SandyLoam,Diseased,Monoculture,Xishen6
204,Sichuan,SandyLoam,Diseased,Monoculture,Xishen6
205,Guizhou,SandyLoam,Healthy,Monoculture,Favorita
206,Guizhou,SandyLoam,Healthy,Monoculture,Favorita
207,Guizhou,SandyLoam,Healthy,Monoculture,Favorita
208,Guizhou,SandyLoam,Healthy,Monoculture,Favorita
209,Guizhou,SandyLoam,Healthy,Monoculture,Favorita
210,Guizhou,Clay,Diseased,Intercropping,Unclear
211,Guizhou,Clay,Diseased,Intercropping,Unclear
212,Guizhou,Clay,Diseased,Intercropping,Unclear
213,Guizhou,Clay,Diseased,Intercropping,Unclear
214,Guizhou,Clay,Diseased,Intercropping,Unclear
215,Guizhou,SandyLoam,Healthy,Monoculture,Unclear
216,Guizhou,SandyLoam,Healthy,Monoculture,Unclear
217,Guizhou,SandyLoam,Healthy,Monoculture,Unclear
218,Guizhou,SandyLoam,Healthy,Monoculture,Unclear
219,Guizhou,SandyLoam,Healthy,Monoculture,Unclear
220,Guizhou,SandySoil,Healthy,Monoculture,Unclear
221,Guizhou,SandySoil,Healthy,Monoculture,Unclear
222,Guizhou,SandySoil,Healthy,Monoculture,Unclear
223,Guizhou,SandySoil,Healthy,Monoculture,Unclear
224,Guizhou,SandySoil,Healthy,Monoculture,Unclear
225,Guizhou,Clay,Healthy,Monoculture,Unclear
226,Guizhou,Clay,Healthy,Monoculture,Unclear
227,Guizhou,Clay,Healthy,Monoculture,Unclear
228,Guizhou,Clay,Healthy,Monoculture,Unclear
229,Guizhou,Clay,Healthy,Monoculture,Unclear
230,Guizhou,SandySoil,Healthy,Monoculture,Qianyu8
231,Guizhou,SandySoil,Healthy,Monoculture,Qianyu8
232,Guizhou,SandySoil,Healthy,Monoculture,Qianyu8
233,Guizhou,SandySoil,Healthy,Monoculture,Qianyu8
234,Guizhou,SandySoil,Healthy,Monoculture,Qianyu8
235,Guizhou,SandyLoam,Healthy,Monoculture,Unclear
236,Guizhou,SandyLoam,Healthy,Monoculture,Unclear
237,Guizhou,SandyLoam,Healthy,Monoculture,Unclear
238,Guizhou,SandyLoam,Healthy,Monoculture,Unclear
239,Guizhou,SandyLoam,Healthy,Monoculture,Unclear
240,Guizhou,SandyLoam,Healthy,Intercropping,Unclear
241,Guizhou,SandyLoam,Healthy,Intercropping,Unclear
242,Guizhou,SandyLoam,Healthy,Intercropping,Unclear
243,Guizhou,SandyLoam,Healthy,Intercropping,Unclear
244,Guizhou,SandyLoam,Healthy,Intercropping,Unclear
245,Guizhou,SandyLoam,Diseased,Intercropping,Weiyu5
246,Guizhou,SandyLoam,Diseased,Intercropping,Weiyu5
247,Guizhou,SandyLoam,Diseased,Intercropping,Weiyu5
248,Guizhou,SandyLoam,Diseased,Intercropping,Weiyu5
